Time,id,detection_level
1711147092.319919,11,1
1711147092.319919,14,1
1711147092.319919,17,1
1711147092.319919,47,1
1711147092.319919,51,1
1711147092.319919,57,1
1711147092.319919,63,1
1711147092.3699567,7,1
1711147092.3699567,11,1
1711147092.3699567,14,1
1711147092.3699567,17,1
1711147092.3699567,41,1
1711147092.3699567,47,1
1711147092.3699567,51,1
1711147092.3699567,57,1
1711147092.3699567,63,1
1711147092.4199998,7,1
1711147092.4199998,11,1
1711147092.4199998,14,1
1711147092.4199998,17,1
1711147092.4199998,41,1
1711147092.4199998,47,1
1711147092.4199998,51,1
1711147092.4199998,57,1
1711147092.4199998,63,1
1711147092.4708388,7,1
1711147092.4708388,11,1
1711147092.4708388,14,1
1711147092.4708388,17,1
1711147092.4708388,41,1
1711147092.4708388,47,1
1711147092.4708388,51,1
1711147092.4708388,57,1
1711147092.4708388,63,1
1711147092.519909,7,1
1711147092.519909,11,1
1711147092.519909,14,1
1711147092.519909,17,1
1711147092.519909,47,1
1711147092.519909,51,1
1711147092.519909,57,1
1711147092.519909,63,1
1711147092.5698442,7,1
1711147092.5698442,11,1
1711147092.5698442,14,1
1711147092.5698442,17,1
1711147092.5698442,46,1
1711147092.5698442,47,1
1711147092.5698442,51,1
1711147092.5698442,57,1
1711147092.5698442,63,1
1711147092.620734,7,1
1711147092.620734,11,1
1711147092.620734,14,1
1711147092.620734,17,1
1711147092.620734,22,1
1711147092.620734,47,1
1711147092.620734,51,1
1711147092.620734,57,1
1711147092.620734,63,1
1711147092.6698363,7,1
1711147092.6698363,11,1
1711147092.6698363,14,1
1711147092.6698363,17,1
1711147092.6698363,29,1
1711147092.6698363,47,1
1711147092.6698363,51,1
1711147092.6698363,57,1
1711147092.6698363,63,1
1711147092.7207348,7,1
1711147092.7207348,11,1
1711147092.7207348,14,1
1711147092.7207348,17,1
1711147092.7207348,29,1
1711147092.7207348,47,1
1711147092.7207348,51,1
1711147092.7207348,57,1
1711147092.7207348,58,1
1711147092.7207348,63,1
1711147092.7708004,7,1
1711147092.7708004,11,1
1711147092.7708004,14,1
1711147092.7708004,17,1
1711147092.7708004,29,1
1711147092.7708004,30,1
1711147092.7708004,47,1
1711147092.7708004,51,1
1711147092.7708004,57,1
1711147092.7708004,62,1
1711147092.7708004,63,1
1711147092.8207192,7,1
1711147092.8207192,11,1
1711147092.8207192,14,1
1711147092.8207192,16,1
1711147092.8207192,17,1
1711147092.8207192,47,1
1711147092.8207192,51,1
1711147092.8207192,57,1
1711147092.8207192,63,1
1711147092.8709934,7,1
1711147092.8709934,11,1
1711147092.8709934,14,1
1711147092.8709934,17,1
1711147092.8709934,47,1
1711147092.8709934,51,1
1711147092.8709934,57,1
1711147092.8709934,63,1
1711147092.9198024,7,1
1711147092.9198024,11,1
1711147092.9198024,14,1
1711147092.9198024,17,1
1711147092.9198024,20,1
1711147092.9198024,33,1
1711147092.9198024,36,1
1711147092.9198024,47,1
1711147092.9198024,51,1
1711147092.9198024,57,1
1711147092.9198024,63,1
1711147092.9708138,7,1
1711147092.9708138,11,1
1711147092.9708138,14,1
1711147092.9708138,17,1
1711147092.9708138,47,1
1711147092.9708138,48,1
1711147092.9708138,51,1
1711147092.9708138,57,1
1711147092.9708138,63,1
1711147093.0208974,7,1
1711147093.0208974,11,1
1711147093.0208974,14,1
1711147093.0208974,17,1
1711147093.0208974,47,1
1711147093.0208974,51,1
1711147093.0208974,57,1
1711147093.0208974,63,1
1711147093.0698397,7,1
1711147093.0698397,9,1
1711147093.0698397,11,1
1711147093.0698397,14,1
1711147093.0698397,17,1
1711147093.0698397,18,1
1711147093.0698397,34,1
1711147093.0698397,47,1
1711147093.0698397,51,1
1711147093.0698397,57,1
1711147093.0698397,63,1
1711147093.120869,7,1
1711147093.120869,11,1
1711147093.120869,14,1
1711147093.120869,17,1
1711147093.120869,18,1
1711147093.120869,47,1
1711147093.120869,51,1
1711147093.120869,57,1
1711147093.120869,63,1
1711147093.120869,64,1
1711147093.170791,7,1
1711147093.170791,11,1
1711147093.170791,14,1
1711147093.170791,15,1
1711147093.170791,17,1
1711147093.170791,18,1
1711147093.170791,47,1
1711147093.170791,51,1
1711147093.170791,57,1
1711147093.170791,63,1
1711147093.2207222,7,1
1711147093.2207222,11,1
1711147093.2207222,14,1
1711147093.2207222,17,1
1711147093.2207222,44,1
1711147093.2207222,47,1
1711147093.2207222,51,1
1711147093.2207222,57,1
1711147093.2207222,63,1
1711147093.2709105,7,1
1711147093.2709105,11,1
1711147093.2709105,14,1
1711147093.2709105,17,1
1711147093.2709105,45,1
1711147093.2709105,47,1
1711147093.2709105,51,1
1711147093.2709105,57,1
1711147093.2709105,63,1
1711147093.3208334,7,1
1711147093.3208334,11,1
1711147093.3208334,14,1
1711147093.3208334,17,1
1711147093.3208334,45,1
1711147093.3208334,47,1
1711147093.3208334,51,1
1711147093.3208334,57,1
1711147093.3208334,63,1
1711147093.3698506,7,1
1711147093.3698506,11,1
1711147093.3698506,14,1
1711147093.3698506,17,1
1711147093.3698506,45,1
1711147093.3698506,47,1
1711147093.3698506,51,1
1711147093.3698506,57,1
1711147093.3698506,63,1
1711147093.4208586,7,1
1711147093.4208586,11,1
1711147093.4208586,14,1
1711147093.4208586,17,1
1711147093.4208586,45,1
1711147093.4208586,47,1
1711147093.4208586,51,1
1711147093.4208586,57,1
1711147093.4208586,63,1
1711147093.469875,7,1
1711147093.469875,11,1
1711147093.469875,14,1
1711147093.469875,17,1
1711147093.469875,31,1
1711147093.469875,45,1
1711147093.469875,47,1
1711147093.469875,51,1
1711147093.469875,57,1
1711147093.469875,63,1
1711147093.520932,7,1
1711147093.520932,11,1
1711147093.520932,14,1
1711147093.520932,17,1
1711147093.520932,47,1
1711147093.520932,51,1
1711147093.520932,57,1
1711147093.520932,63,1
1711147093.570886,2,1
